number,dutch,english,part_of_speech,category,example_dutch,example_english
337,mij,me,pronoun,grammar,"Hij belt mij morgen","He calls ... tomorrow"
338,mijn,my,pronoun,possession,"Dit is mijn huis, niet van jou","This is ... house, not yours"
339,miljoen,million,numeral,numbers,"Een miljoen is duizend maal duizend","A ... is thousand times thousand"
340,minister,minister,noun,politics,"De minister is lid van de regering","The ... is a member of the government"
341,minuut,minute,noun,time,"Een minuut is 60 seconden lang","A ... is 60 seconds long"
342,missen,to miss,verb,absence,"Ik mis je, wanneer kom je terug?","I ... you, when will you come back?"
343,modern,modern,adjective,style,"Een modern huis heeft een eigentijdse stijl","A ... house has a contemporary style"
344,moe,tired,adjective,state,"Ik ben moe","I am tired"
345,moeder,mother,noun,family,"Mijn moeder en vader zijn mijn ouders","My ... and father are my parents"
346,moeilijk,difficult,adjective,complexity,"Deze som is moeilijk","This math problem is difficult"
347,moeten,must,verb,obligation,"Ik moet werken vandaag","I ... work today"
348,moment,moment,noun,time,"Wacht een moment, ik kom zo","Wait a ..., I'm coming"
349,mond,mouth,noun,body,"Ik eet met mijn mond en praat ermee","I eat with my ... and talk with it"
350,mooi,beautiful,adjective,appearance,"Een mooi schilderij","A beautiful painting"
351,motief,motive,noun,reason,"Het motief voor de daad was wraak","The ... for the act was revenge"
352,museum,museum,noun,culture,"In het museum zie je kunst en geschiedenis","In the ... you see art and history"
353,muziek,music,noun,entertainment,"Ik luister naar muziek met mijn koptelefoon","I listen to ... with my headphones"
354,naam,name,noun,identity,"Voor- en achternaam staan op het document","First and last ... are on the document"
355,naar,to,preposition,direction,"Ik ga naar school om te leren","I go ... school to learn"
356,naast,next to,preposition,position,"Ik zit naast mijn vriend in de klas","I sit ... my friend in class"
357,nacht,night,noun,time,"Goede nacht, slaap lekker!","Good ..., sleep well!"
358,nadat,after,conjunction,sequence,"Nadat ik eet ga ik slapen","After I eat I go to sleep"
359,nationaal,national,adjective,geography,"Een nationaal park behoort tot het hele land","A ... park belongs to the whole country"
360,natuur,nature,noun,environment,"De natuur heeft bomen, dieren en rivieren","... has trees, animals and rivers"
361,nee,no,interjection,response,"Wil je dit? Nee, dank je","Do you want this? ..., thank you"
362,neef,nephew,noun,family,"Mijn neef is de zoon van mijn oom of tante","My ... is the son of my uncle or aunt"
363,negatief,negative,adjective,attitude,"Een negatief gevoel is niet positief of blij","A ... feeling is not positive or happy"
364,nek,neck,noun,body,"Mijn nek doet pijn tussen hoofd en schouders","My ... hurts between head and shoulders"
365,neus,nose,noun,body,"Mijn neus loopt, ik ben verkouden","My ... is running, I have a cold"
366,nicht,niece,noun,family,"Mijn nicht is de dochter van mijn oom of tante","My ... is the daughter of my uncle or aunt"
367,niet,not,adverb,negation,"Ik kan niet komen, ik ben ziek","I can ... come, I am sick"
368,nieuw,new,adjective,quality,"Ik heb een nieuwe fiets","I have a ... bicycle"
369,noorden,north,noun,direction,"In het noorden is het koud en ligt Nederland","In the ... it is cold and lies the Netherlands"
370,normaal,normal,adjective,standard,"Dat gedrag is niet normaal maar vreemd","That behavior is not ... but strange"
371,nou,well,interjection,filler,"Nou, dat weet ik niet","Well, I do not know that"
372,nu,now,adverb,time,"Ik ga nu meteen naar huis, niet later","I am going home ... immediately, not later"
373,nummer,number,noun,identifier,"Mijn telefoonnummer heeft 10 cijfers","My phone ... has 10 digits"
374,object,object,noun,thing,"Een object is een ding of voorwerp","An ... is a thing or item"
375,oefenen,to practice,verb,training,"Ik oefen elke dag piano","I practice piano every day"
376,of,or,conjunction,grammar,"Wil je koffie of thee drinken vandaag?","Do you want coffee ... tea to drink today?"
377,officieel,official,adjective,formal,"Dit is het officieel document van de overheid","This is the ... document from the government"
378,officier,officer,noun,military,"Een officier is een militaire leider","An ... is a military leader"
379,oh,oh,interjection,realization,"Oh, ik begrijp het nu","..., I understand now"
380,oktober,October,noun,time,"Oktober is de tiende maand van het jaar","... is the tenth month of the year"
381,oké,okay,interjection,agreement,"Oké, dat is goed","..., that is fine"
382,olie,oil,noun,substance,"Olie is een vloeibare stof om mee te koken","... is a liquid substance to cook with"
383,oma,grandmother,noun,family,"Mijn oma is de moeder van mijn vader of moeder","My ... is the mother of my father or mother"
384,omdat,because,conjunction,reason,"Ik leer Nederlands omdat het nuttig is","I learn Dutch ... it is useful"
385,onder,under,preposition,position,"De kat ligt onder de tafel","The cat lies ... the table"
386,ontbreken,to lack,verb,absence,"Er ontbreekt iets","Something is ..."
387,ontmoeten,to meet,verb,social,"Ik ontmoet mijn vrienden","I meet my friends"
388,ontspannen,to relax,verb,leisure,"Ik ontspan op de bank","I relax on the couch"
389,ontvangen,to receive,verb,transfer,"Ik ontvang een brief","I receive a letter"
390,oom,uncle,noun,family,"Mijn oom is de broer van mijn vader of moeder","My ... is the brother of my father or mother"
391,oor,ear,noun,body,"We horen met onze oren geluid","We hear sound with our ..."
392,op,on,preposition,location,"Het boek ligt op de tafel","The book is ... the table"
393,op,up,adverb,direction,"Ik sta vroeg op","I get ... early"
394,opa,grandfather,noun,family,"Mijn opa is de vader van mijn vader of moeder","My ... is the father of my father or mother"
395,open,open,adjective,state,"De deur is open","The door is ..."
396,open,to open,verb,action,"Winkels open om negen uur","Shops open at nine"
397,operatie,operation,noun,medical,"Een operatie is een chirurgische medische ingreep","An ... is a surgical medical procedure"
398,ophalen,to pick up,verb,collection,"Ik haal je op om acht uur","I pick you up at eight o clock"
399,opruimen,to clean up,verb,tidying,"Ik ruim mijn kamer op","I clean up my room"
400,opschieten,to hurry,verb,speed,"Schiet op, we zijn laat!","Hurry up, we are late!"
401,orgaan,organ,noun,body,"Het hart en de lever zijn belangrijke organen","The heart and liver are important ..."
402,organisatie,organization,noun,institution,"Een organisatie is een gestructureerde groep mensen","An ... is a structured group of people"
403,organiseren,to organize,verb,planning,"Een feest organiseren","To ... a party"
404,oud,old,adjective,age,"Mijn huis is oud","My house is ..."
405,ouders,parents,noun,family,"Mijn ouders zijn mijn vader en moeder","My ... are my father and mother"
406,over,about,preposition,topic,"We praten over het weer","We talk ... the weather"
407,pad,path,noun,route,"Een smal pad loopt door het bos","A narrow ... runs through the forest"
408,papier,paper,noun,material,"Papier is gemaakt van hout om op te schrijven","... is made from wood to write on"
409,partner,partner,noun,relationships,"Mijn partner is de persoon met wie ik samenleef","My ... is the person I live with"
410,pas,just,adverb,time,"Ik kom pas om acht uur","I come ... at eight"
411,pas,pass,noun,document,"Ik heb mijn pas vergeten","I forgot my pass"
412,passeren,to pass,verb,movement,"Ik passeer het huis op weg naar school","I ... the house on my way to school"
413,patiënt,patient,noun,healthcare,"De patiënt wordt behandeld door een dokter","The ... is treated by a doctor"
414,patroon,pattern,noun,design,"Een patroon is een herhalend ontwerp","A ... is a repeating design"
415,periode,period,noun,time,"Een periode is een bepaalde tijdspanne","A ... is a certain time span"
416,pers,press,noun,media,"De pers zijn journalisten en kranten","The ... are journalists and newspapers"
417,persoon,person,noun,people,"Een persoon is een individueel mens","A ... is an individual human"
418,persoonlijk,personally,adverb,manner,"Ik kom persoonlijk","I come ..."
419,persoonlijkheid,personality,noun,character,"Zijn persoonlijkheid is vriendelijk en extravert","His ... is friendly and extroverted"
420,pijn,pain,noun,sensation,"Ik heb pijn in mijn been, het doet zeer","I have ... in my leg, it hurts"
421,pijnlijk,painful,adjective,sensation,"Een pijnlijke ervaring doet emotioneel zeer","A ... experience hurts emotionally"
422,plaat,plate,noun,objects,"Een plaat is een vlak stuk materiaal","A ... is a flat piece of material"
423,plaats,place,noun,location,"Dit is een mooie plaats om te wonen","This is a beautiful ... to live"
424,plaatsen,to place,verb,positioning,"Ik plaats het boek op de plank","I ... the book on the shelf"
425,plan,plan,noun,strategy,"Wat is je plan voor het weekend?","What is your ... for the weekend?"
426,plant,plant,noun,nature,"Een groene plant groeit in de tuin","A green ... grows in the garden"
427,planten,to plant,verb,gardening,"Ik plant bloemen en groenten in de tuin","I ... flowers and vegetables in the garden"
428,plezier,pleasure,noun,emotion,"Veel plezier met het feest vanavond!","Have fun at the party tonight!"
429,politie,police,noun,authority,"Bel de politie bij nood of gevaar","Call the ... in an emergency or danger"
430,positie,position,noun,placement,"Een goede positie is een gunstige plek","A good ... is a favorable spot"
431,positief,positive,adjective,attitude,"Een positief resultaat is goed nieuws","A ... result is good news"
432,pot,pot,noun,container,"Ik kook soep in een grote pot","I cook soup in a large ..."
433,prachtig,magnificent,adjective,beauty,"Een prachtig uitzicht","A magnificent view"
434,praktijk,practice,noun,application,"In de praktijk werkt het anders dan in theorie","In ... it works differently than in theory"
435,praktisch,practical,adjective,utility,"Een praktische oplossing is handig en werkt goed","A ... solution is handy and works well"
436,praten,to talk,verb,communication,"We praten over het nieuws","We talk about the news"
437,president,president,noun,politics,"De president is de leider van een land","The ... is the leader of a country"
438,prijs,price,noun,money,"De prijs van dit boek is 20 euro","The ... of this book is 20 euros"
439,probleem,problem,noun,difficulty,"Ik heb een probleem met mijn computer","I have a ... with my computer"
440,procent,percent,noun,measurement,"Vijftig procent is de helft, 50 van 100","Fifty ... is half, 50 of 100"
441,proces,process,noun,procedure,"Een proces is een reeks stappen om iets te bereiken","A ... is a series of steps to achieve something"
442,produceren,to produce,verb,creation,"Fabrieken produceren goederen en artikelen","Factories ... goods and articles"
443,product,product,noun,goods,"De winkel verkoopt veel producten en goederen","The store sells many ... and goods"
444,productie,production,noun,manufacturing,"De productie van auto's stopt vandaag","The ... of cars stops today"
445,programma,program,noun,schedule,"Het televisieprogramma start om acht uur","The television ... starts at eight o'clock"
446,project,project,noun,work,"Een nieuw project begint met een plan","A new ... starts with a plan"
447,provincie,province,noun,geography,"In deze provincie","In this ..."
448,psychologie,psychology,noun,science,"Ik studeer psychologie","I study ..."
449,psychologisch,psychological,adjective,mental,"Een psychologisch effect","A ... effect"
450,psycholoog,psychologist,noun,profession,"De psycholoog helpt","The ... helps"
451,publiceren,to publish,verb,media,"Een boek publiceren","To ... a book"
452,raar,strange,adjective,oddity,"Dat is raar","That is strange"
453,radio,radio,noun,media,"Ik luister naar de radio","I listen to the ..."
454,reactie,reaction,noun,response,"Wat is je reactie op dit nieuws?","What is your ... to this news?"
455,realiseren,to realize,verb,understanding,"Ik realiseer het nu","I ... it now"
456,reden,reason,noun,logic,"Wat is de reden?","What is the ...?"
457,regel,rule,noun,regulation,"De regels van het spel","The rules of the game"
458,relatie,relationship,noun,connections,"Een goede relatie","A good ..."
459,relatief,relatively,adverb,comparison,"Relatief eenvoudig","... simple"
460,rennen,to run,verb,movement,"Ik ren naar huis","I ... home"
461,restaurant,restaurant,noun,food,"We eten in een restaurant","We eat in a ..."
462,resultaat,result,noun,outcome,"Het resultaat van de test is positief","The ... of the test is positive"
463,rijk,rich,adjective,wealth,"Hij is rijk en heeft veel geld","He is ... and has a lot of money"
464,rijk,kingdom,noun,geography,"Het Koninkrijk der Nederlanden","The ... of the Netherlands"
465,risico,risk,noun,danger,"Een groot risico kan gevaarlijk zijn","A big ... can be dangerous"
466,rivier,river,noun,nature,"Een rivier is stromend water tussen land","A ... is flowing water between land"
467,roepnaam,first name,noun,identity,"Mijn roepnaam is Piet","My first name is Piet"
468,rol,role,noun,function,"Hij speelt een rol","He plays a ..."
469,rol,roll,noun,food,"Een broodje is een klein rol","A ... is a small bread"
470,rommel,mess,noun,disorder,"Wat een rommel hier!","What a mess here!"
471,rommelig,messy,adjective,disorder,"Een rommelige kamer","A messy room"
472,rond,round,adjective,shape,"Een ronde tafel","A ... table"
473,rond,around,preposition,location,"Loop rond het huis","Walk ... the house"
474,rood,red,adjective,color,"Bloed is rood en rozen ook","Blood is ... and roses too"
475,rust,rest,noun,relaxation,"Ik heb rust nodig na hard werken","I need ... after working hard"
476,rusten,to rest,verb,relaxation,"Ik moet rusten","I must ..."
477,schaduw,shadow,noun,light,"De zon maakt een schaduw achter het huis","The sun makes a ... behind the house"
478,schoen,shoe,noun,clothing,"Ik draag schoenen aan mijn voeten","I wear ... on my feet"
479,school,school,noun,education,"Ik ga naar school","I go to ..."
480,schoonmaken,to clean,verb,housework,"Ik maak het huis schoon","I clean the house"
481,schouder,shoulder,noun,body,"De schouder verbindt de arm met het lichaam","The ... connects the arm to the body"
482,seconde,second,noun,time,"Een minuut heeft 60 seconden","A minute has 60 ..."
483,sector,sector,noun,industry,"De publieke sector omvat overheid en onderwijs","The public ... includes government and education"
484,serieus,serious,adjective,attitude,"Dit is een serieus probleem, geen grapje","This is a ... problem, not a joke"
485,sigaret,cigarette,noun,smoking,"Een sigaret roken is ongezond voor de longen","Smoking a ... is unhealthy for the lungs"
486,sinds,since,preposition,time,"Sinds vorige week ben ik ziek","... last week I am sick"
487,slaap,sleep,noun,rest,"Ik ben moe en heb slaap nodig","I am tired and need ..."
488,slapen,to sleep,verb,rest,"Ik ga slapen","I go to ..."
489,smerig,disgusting,adjective,quality,"Dat ruikt smerig","That smells disgusting"
490,sneeuw,snow,noun,weather,"Witte sneeuw valt 's winters van de hemel","White ... falls from the sky in winter"
491,sociaal,social,adjective,society,"Een sociaal probleem betreft de maatschappij","A ... problem concerns society"
492,sommige,some,adjective,quantity,"Sommige mensen houden van koffie, anderen niet","... people like coffee, others don't"
493,soms,sometimes,adverb,frequency,"Ik ga soms zwemmen","I go swimming ..."
494,soort,kind,noun,type,"Wat voor soort muziek luister je, rock of jazz?","What ... of music do you listen to, rock or jazz?"
495,speciaal,special,adjective,quality,"Een speciaal cadeau is uniek en bijzonder","A ... gift is unique and extraordinary"
496,specifiek,specific,adjective,precision,"Ik heb een specifiek en duidelijk antwoord","I have a ... and clear answer"
497,spreken,to speak,verb,communication,"Ik spreek Nederlands","I ... Dutch"
498,staan,to stand,verb,position,"Ik sta bij de deur","I ... by the door"
499,staan,stand,noun,position,"Een fruitstal op de markt","A fruit stand at the market"
500,staat,state,noun,condition,"Mijn auto is in goede staat en werkt perfect","My car is in good ... and works perfectly"
501,stap,step,noun,movement,"Nog één stap en je bent bij de deur","One more ... and you're at the door"
502,stappen,to step,verb,movement,"Ik stap in de trein","I ... into the train"
503,station,station,noun,transportation,"Ik wacht op het station","I wait at the ..."
504,steen,stone,noun,material,"Een steen is een hard stuk rots","A ... is a hard piece of rock"
505,ster,star,noun,astronomy,"'s Nachts zie je sterren aan de hemel","At night you see ... in the sky"
506,stijf,stiff,adjective,texture,"Mijn nek is stijf en beweegt moeilijk","My neck is ... and moves with difficulty"
507,stijl,style,noun,manner,"Elke kunstenaar heeft zijn eigen stijl","Every artist has his own ..."
508,stil,quiet,adjective,sound,"Het is hier stil","It is quiet here"
509,stofzuigen,to vacuum,verb,housework,"Ik stofzuig de vloer","I vacuum the floor"
510,stoppen,to stop,verb,action,"Stop hier","... here"
511,straat,street,noun,location,"Auto's rijden op de straat tussen huizen","Cars drive on the ... between houses"
512,strijken,to iron,verb,housework,"Ik strijk mijn overhemd","I iron my shirt"
513,structuur,structure,noun,organization,"Een gebouw heeft een sterke structuur","A building has a strong ..."
514,student,student,noun,education,"Ik ben student en studeer aan de universiteit","I am a ... and study at the university"
515,studeren,to study,verb,education,"Ik studeer hard","I ... hard"
516,studie,study,noun,education,"Mijn studie aan de universiteit duurt vier jaar","My ... at the university lasts four years"
517,sturen,to send,verb,transfer,"Ik stuur een email","I send an email"
518,succes,success,noun,achievement,"Veel succes met je examen morgen!","Good luck with your exam tomorrow!"
519,suiker,sugar,noun,food,"Suiker is zoet en zit in de koffie","... is sweet and goes in the coffee"
520,symbool,symbol,noun,representation,"Een belangrijk symbool","An important ..."
521,systeem,system,noun,structure,"Het computersysteem werkt niet meer goed","The computer... doesn't work well anymore"
522,tafel,table,noun,furniture,"We eten samen aan de tafel","We eat together at the ..."
523,tante,aunt,noun,family,"Mijn tante komt","My ... is coming"
524,te,to,particle,grammar,"Ik ga te laat komen","I am going ... arrive late"
525,te,too,adverb,grammar,"Dit is te moeilijk voor mij","This is ... difficult for me"
526,techniek,technique,noun,method,"Een goede techniek","A good ..."
527,technisch,technical,adjective,skill,"Een technisch probleem","A ... problem"
528,tegen,against,preposition,opposition,"De ladder staat tegen de muur","The ladder stands ... the wall"
529,tegenwoordig,nowadays,adverb,time,"Tegenwoordig werk ik thuis","Nowadays I work from home"
530,tekst,text,noun,writing,"Ik lees de tekst in het boek","I read the ... in the book"
531,telefoon,phone,noun,communication,"Ik bel mijn moeder met de telefoon","I call my mother with the ..."
532,televisie,television,noun,media,"Ik kijk televisie","I watch ..."
533,tentamen,exam,noun,education,"Het tentamen is moeilijk","The exam is difficult"
534,term,term,noun,expression,"Een technische term","A technical ..."
535,terras,terrace,noun,building,"Zitten op het terras","Sitting on the ..."
536,terrein,terrain,noun,land,"Een groot terrein","A large ..."
537,terug,back,adverb,direction,"Ik kom terug om vijf uur","I come back at five o clock"
538,terwijl,while,conjunction,simultaneity,"Ik luister muziek terwijl ik werk","I listen to music ... I work"
539,thee,tea,noun,drinks,"Ik drink thee","I drink ..."
540,theoretisch,theoretical,adjective,concept,"Theoretisch mogelijk","... possible"
541,theorie,theory,noun,concept,"Een interessante theorie","An interesting ..."
542,tien,ten,numeral,numbers,"Tien is het getal tussen negen en elf","... is the number between nine and eleven"
543,titel,title,noun,naming,"Elk boek heeft een titel bovenaan","Every book has a ... at the top"
544,toch,still,particle,emphasis,"Het is toch waar wat ik zeg","It is ... true what I say"
545,toen,then,adverb,time,"Toen was ik jong","... I was young"
546,toetje,dessert,noun,food,"Als toetje eet ik ijs","For dessert I eat ice cream"
547,toets,test,noun,education,"Ik heb een toets vandaag","I have a test today"
548,tong,tongue,noun,body,"Mijn tong zit in mijn mond om te proeven","My ... is in my mouth to taste"
549,top,top,noun,position,"De top van de berg is het hoogste punt","The ... of the mountain is the highest point"
550,tot,until,preposition,time,"Ik werk tot vijf uur 's avonds","I work ... five o'clock in the evening"
551,totaal,total,adjective,sum,"Het totaal bedrag van 20 plus 30 is 50 euro","The ... amount of 20 plus 30 is 50 euros"
552,traditie,tradition,noun,custom,"Een traditie is een gebruik dat generaties lang bestaat","A ... is a custom that exists for generations"
553,traditioneel,traditional,adjective,custom,"Traditioneel eten wordt al eeuwen gemaakt","... food has been made for centuries"
554,trein,train,noun,transportation,"Ik reis met de trein","I travel by ..."
555,tuin,garden,noun,outdoor,"Bloemen in de tuin","Flowers in the garden"
556,tussen,between,preposition,position,"Ik zit tussen jou en hem","I sit ... you and him"
557,twee,two,numeral,numbers,"Ik heb twee kinderen","I have ... children"
558,typisch,typical,adjective,characteristic,"Kaas en klompen zijn typisch Nederlands","Cheese and clogs are ... Dutch"
559,u,you,pronoun,formal,"Hoe gaat het met u?","How are ... doing?"
560,uit,from,preposition,origin,"Ik kom uit Nederland","I come ... the Netherlands"
561,uitstekend,excellent,adjective,quality,"Een uitstekende prestatie","An excellent performance"
562,universiteit,university,noun,education,"Ik studeer aan de universiteit","I study at the ..."
563,uur,hour,noun,time,"Een uur is 60 minuten en duurt best lang","An ... is 60 minutes and takes quite long"
564,vader,father,noun,family,"Mijn vader en moeder zijn mijn ouders","My ... and mother are my parents"
565,vallen,to fall,verb,movement,"Pas op, je gaat vallen","Watch out, you will ..."
566,van,of,preposition,possession,"Het huis van mijn vriend is groot","The house ... my friend is big"
567,vechten,to fight,verb,combat,"Ik wil niet vechten","I don't want to ..."
568,veld,field,noun,nature,"Een groen veld is een open stuk grasland","A green ... is an open piece of grassland"
569,ver,far,adjective,distance,"Is het nog ver?","Is it still ...?"
570,verbieden,to forbid,verb,prohibition,"De wet verbiedt roken in restaurants","The law ... smoking in restaurants"
571,verder,further,adverb,distance,"Ik kan niet verder","I cannot go ..."
572,verjaardag,birthday,noun,celebration,"Morgen is mijn verjaardag","Tomorrow is my birthday"
573,verspreiden,to spread,verb,distribution,"Het nieuws verspreidt zich snel via internet","The news ... quickly via internet"
574,vertellen,to tell,verb,communication,"Vertel me een verhaal","... me a story"
575,vervelend,annoying,adjective,emotion,"Dat is vervelend","That is annoying"
576,vervullen,to fulfill,verb,completion,"Ik wil mijn droom vervullen om de wereld te zien","I want to ... my dream to see the world"
577,vier,four,numeral,numbers,"Ik heb vier appels","I have ... apples"
578,vies,dirty,adjective,cleanliness,"Mijn handen zijn vies","My hands are dirty"
579,vijf,five,numeral,numbers,"Vijf is het getal tussen vier en zes","... is the number between four and six"
580,vinden,to find,verb,discovery,"Ik kan mijn sleutel niet vinden","I cannot ... my key"
581,vinger,finger,noun,body,"Mijn vinger is gebroken","My ... is broken"
582,vis,fish,noun,food,"Ik eet vis","I eat ..."
583,visie,vision,noun,perspective,"Een visie is een duidelijk toekomstbeeld","A ... is a clear future image"
584,vissen,to fish,verb,activity,"Ik ga vissen in de rivier","I go ... in the river"
585,vlakbij,very close,adverb,proximity,"De school is vlakbij","The school is very close"
586,vliegen,to fly,verb,movement,"Vogels vliegen","Birds ..."
587,vloer,floor,noun,building,"De vloer is onder je voeten in het huis","The ... is under your feet in the house"
588,vluchten,to flee,verb,escape,"Ik moet vluchten voor het gevaar","I must ... from the danger"
589,voelen,to feel,verb,perception,"Ik voel me ziek","I ... sick"
590,voet,foot,noun,body,"Mijn voet doet pijn","My ... hurts"
591,vol,full,adjective,quantity,"Mijn glas is vol","My glass is ..."
592,volgende,next,adjective,sequence,"De volgende keer","The next time"
593,voor,before,preposition,time,"Kom voor acht uur","Come ... eight o'clock"
594,voor,for,preposition,purpose,"Dit cadeau is voor jou","This gift is ... you"
595,vooral,especially,adverb,emphasis,"Vooral in de zomer","Especially in summer"
596,vorming,formation,noun,development,"De vorming van een mening duurt tijd","The ... of an opinion takes time"
597,vreemd,strange,adjective,oddity,"Een vreemd geluid","A strange sound"
598,vriend,friend,noun,relationships,"Hij is mijn beste vriend","He is my best ..."
599,vriendelijk,friendly,adjective,personality,"Een vriendelijke man helpt anderen graag","A ... man likes to help others"
600,vrienden,friends,noun,relationships,"Mijn vrienden komen vanavond","My friends are coming tonight"
601,vriendin,girlfriend,noun,relationships,"Zij is mijn vriendin","She is my girlfriend"
602,vriendinnen,female friends,noun,relationships,"Mijn vriendinnen en ik gaan winkelen","My female friends and I go shopping"
603,vrij,free,adjective,availability,"Ben je morgen vrij?","Are you ... tomorrow?"
604,vroeg,early,adjective,time,"Ik sta vroeg op","I get up early"
605,vrolijk,cheerful,adjective,mood,"Een vrolijk kind","A cheerful child"
606,vuilnis,garbage,noun,waste,"Ik zet het vuilnis buiten","I put the garbage outside"
607,vullen,to fill,verb,action,"Vul het glas met water tot de rand","... the glass with water to the rim"
608,vuur,fire,noun,element,"Het vuur brandt","The ... burns"
609,wachten,to wait,verb,action,"Wacht op mij, ik kom eraan","... for me, I'm coming"
610,wakker,awake,adjective,state,"Ben je wakker?","Are you ...?"
611,wandelen,to walk,verb,movement,"Ik wandel in het park","I walk in the park"
612,wanneer,when,adverb,question,"Wanneer kom je naar mijn huis?","... are you coming to my house?"
613,want,because,conjunction,reason,"Ik blijf thuis want ik ben ziek","I stay home ... I am sick"
614,wapen,weapon,noun,combat,"Een wapen zoals een mes of pistool is gevaarlijk","A ... like a knife or gun is dangerous"
615,warm,warm,adjective,temperature,"Het is warm weer","It is ... weather"
616,warmte,warmth,noun,temperature,"De warmte van de zon verwarms de aarde","The ... of the sun warms the earth"
617,wasmachine,washing machine,noun,appliance,"De wasmachine is kapot","The washing machine is broken"
618,wassen,to wash,verb,cleaning,"Ik was mijn handen","I ... my hands"
619,wat,what,pronoun,question,"Wat wil je eten?","... do you want to eat?"
620,water,water,noun,drinks,"Water is belangrijk voor ons leven","... is important for our life"
621,we,we,pronoun,grammar,"We gaan naar de bioscoop","... are going to the cinema"
622,week,week,noun,time,"Een week heeft zeven dagen","A ... has seven days"
623,weer,weather,noun,climate,"Het weer is mooi vandaag","The weather is nice today"
624,wel,indeed,particle,affirmation,"Ik heb het wel gedaan","I ... did it"
625,welk,which,pronoun,question,"Welk boek wil je?","... book do you want?"
626,wens,wish,noun,desire,"Mijn grootste wens is de wereld rondreizen","My biggest ... is to travel the world"
627,wensen,to wish,verb,desire,"Ik wens je succes","I ... you success"
628,wereld,world,noun,geography,"De wereld heeft zeven continenten en oceanen","The ... has seven continents and oceans"
629,werk,work,noun,occupation,"Ik ga naar mijn werk","I go to my ..."
630,werken,to work,verb,occupation,"Ik werk in een kantoor","I ... in an office"
631,westen,west,noun,direction,"In het westen gaat de zon onder","In the ... the sun sets"
632,westers,western,adjective,direction,"Westers denken komt uit Europa en Amerika","... thinking comes from Europe and America"
633,weten,to know,verb,knowledge,"Ik weet het antwoord","I know the answer"
634,wetenschap,science,noun,education,"Ik studeer wetenschap","I study science"
635,wij,we,pronoun,grammar,"Wij gaan op vakantie","... are going on vacation"
636,wijd,wide,adjective,dimension,"Een wijde straat is breed en ruim","A ... street is broad and spacious"
637,wijn,wine,noun,drinks,"Wijn is een alcoholische drank van druiven","... is an alcoholic drink from grapes"
638,wild,wild,adjective,nature,"Een wild dier leeft vrij in de natuur","A ... animal lives free in nature"
639,wind,wind,noun,weather,"De wind blaast de bladeren van de boom","The ... blows the leaves from the tree"
640,winnen,to win,verb,victory,"Ik wil winnen en de eerste zijn","I want to ... and be first"
641,winter,winter,noun,season,"In de winter is het koud","In ... it is cold"
642,wit,white,adjective,color,"Sneeuw en melk zijn wit van kleur","Snow and milk are ... in color"
643,woord,word,noun,language,"Wat betekent dit woord?","What does this ... mean?"
644,worden,to become,verb,change,"Ik word arts","I become a doctor"
645,wow,wow,interjection,surprise,"Wow, wat mooi!","..., how beautiful!"
646,zacht,soft,adjective,texture,"Een zacht kussen","A soft pillow"
647,zaken,business,noun,commerce,"Ik doe zaken met hem","I do business with him"
648,zand,sand,noun,nature,"Op het strand ligt geel zand","On the beach lies yellow ..."
649,zee,sea,noun,nature,"De zee is groot en zout water","The ... is large and salt water"
650,zeggen,to say,verb,communication,"Wat zeg je?","What do you say?"
651,zelf,self,pronoun,grammar,"Ik doe het zelf","I do it my..."
652,zenden,to send,verb,transmission,"Ik zend een brief per post naar jou","I ... a letter by mail to you"
653,zes,six,numeral,numbers,"Zes is het getal tussen vijf en zeven","... is the number between five and seven"
654,ziek,sick,adjective,health,"Ik ben ziek","I am ..."
655,zien,to see,verb,perception,"Ik zie een vogel","I see a bird"
656,zij,she,pronoun,grammar,"Zij is mijn zus","... is my sister"
657,zingen,to sing,verb,music,"Ik zing een lied met mijn stem","I ... a song with my voice"
658,zitten,to sit,verb,position,"Ik zit op een stoel","I ... on a chair"
659,zo,so,adverb,manner,"Deze taart is zo lekker en zoet","This cake is ... delicious and sweet"
660,zodat,so that,conjunction,purpose,"Ik ren snel zodat ik op tijd kom","I run fast ... I arrive on time"
661,zoet,sweet,adjective,taste,"Deze cake is zoet","This cake is sweet"
662,zomer,summer,noun,season,"In de zomer is het warm en schijnt de zon","In the ... it is warm and the sun shines"
663,zondag,Sunday,noun,time,"Zondag is de laatste dag van het weekend","... is the last day of the weekend"
664,zonder,without,preposition,absence,"Ik ga zonder jas naar buiten","I go ... a coat outside"
665,zoon,son,noun,family,"Mijn zoon en dochter zijn mijn kinderen","My ... and daughter are my children"
666,zout,salt,noun,seasoning,"Er zit te veel zout in het eten","There is too much salt in the food"
667,zullen,shall,verb,future,"We zullen morgen vertrekken met de trein","We ... leave tomorrow by train"
668,zus,sister,noun,family,"Mijn zus is jonger dan mijn broer","My ... is younger than my brother"
669,zuster,sister,noun,family,"Mijn broer en zuster zijn mijn broers en zussen","My brother and ... are my siblings"
